what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319950608303
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319950608304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1319950608378
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319950608597
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319950608604
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1319950608650
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319950608752
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319950608753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1319950608803
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319950611543
opened,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319950611717
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319950611802
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319950611877
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319950613451
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319950645858
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319950647963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319950649315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319950843772
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319950854013
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319950854196
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319950854317
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319950854383
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319950855487
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319951199018
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319951358964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319951363894
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319951368324
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319951371654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951372621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951433397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319951442484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951444773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951446021
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319951460372
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319951461243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951462337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951481329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319951509237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951515137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951516583
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319951518806
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319951521097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319951526149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319951533204
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319951538312
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319951540341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951543034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951781806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951791888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319951990844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319951993858
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951995423
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951995582
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951995712
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951995843
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951995975
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951996155
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951996431
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951996585
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319951996764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319951997924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319951998762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952005723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952029365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952031848
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952037637
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952037790
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952037954
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952038201
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952038441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952041519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952042862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952049629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952054442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952055450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952063466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952066826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952071377
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952076727
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319952078363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952079276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952138691
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952145401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1319952145449
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319952146206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.forwardHistory",1319952146252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952159635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952178581
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952181324
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952187576
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952187755
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952187961
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319952188595
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1319952188897
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319952189927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319952190657
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319952278476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1319952282774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1319952284760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952286678
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952288567
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319952291012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952291680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952292166
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952293804
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319952295034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952311214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952312009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952313448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952326988
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952327731
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319952327733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1319952327785
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952327923
closed,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952327923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1319952327968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319952335596
opened,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952335815
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952335889
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319952335950
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952337100
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952346817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952355673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952383168
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1319952383294
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319952389159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952398858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952440615
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952450085
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952450243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952470762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952484126
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952497497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952503594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952521641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952530576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952640018
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952640123
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319952654128
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952654700
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952654808
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952664405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1319952664417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.next",1319952666906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952668991
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1319952671274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952672244
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952674833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952677959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952679057
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952681288
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952682250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952692803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952801143
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952801250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952805321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952811093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319952814380
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952816970
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319952820681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952821445
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1319952821815
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1319952821867
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1319952822019
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1319952822175
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1319952822367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952824826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952825168
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952825457
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952825797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952826476
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1319952828074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952828961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952834540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952846313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952848350
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952851855
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952859612
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952861779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952862156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952870537
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952870653
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952874521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319952879508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319952880708
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1319952881791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952882235
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952884413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952888439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952892713
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952894817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952905961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952909287
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952910362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319952914521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952915810
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952919093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952930060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952941137
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952942584
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1319952945108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952945622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952952750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952953087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952953517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952954961
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952959839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319952961089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319952961859
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319952963159
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319952967083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952975996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319952996386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953000025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953010342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953014912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953015534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953016336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953016760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953017503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953020722
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953022912
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953062559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319953089656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953089675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953090797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319953098362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319953100334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319953128562
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1319953130446
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953130877
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953130992
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319953133625
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1319953133839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319953134545
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319953136869
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953176579
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953176676
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953205753
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953207195
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319953209840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953212521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319953214387
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953215716
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1319953216826
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953222432
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953224288
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953225359
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319953229283
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1319953234683
